10023.xml	p495	p2819	1525	t1,t5	<s n="99">Grütz mir hernn schultheis <persName ref="p6336" sent="to">Ruͤplin</persName>, <persName ref="p6338" sent="to">Sigmunden</persName>, <persName ref="p5906" sent="to">Mörickovernn</persName>, den praedicanten und ander bruͤder in Christo, und «die gnad gottes sy mitt dir».</s>
11164.xml	p991	p495	1538	t2,t5	<s n="9">Hiemit sind gott bevolhen und gruͤtzend wir üweren trüwen mitarbeiter in göttlichem wort, <persName ref="p1753" sent="to">Leonem Iudę</persName>, welichem ir disse unser meinung och wöllend furhalten, darum ich üch vast wil gebetten haben.</s>
11187.xml	p8071	p495	1538	t9,t10	<s n="46">Er last uch früntlich dancken und grüssen.</s>
11187.xml	p8071	p495	1538	t9,t10	<s n="56">Den <persName ref="p1888" sent="to">Laffatter</persName> thuͦnd mir fruntlich grüssen.</s>
11187.xml	p8071	p495	1538	t9,t10	<s n="62">Min <persName ref="p4248" sent="from">husfrow</persName> last uch, uwren <persName ref="p8051" sent="to">frowen</persName>, <persName ref="p7042" sent="to">muͦter</persName> und kinder, och <persName ref="p6444" sent="to">magt</persName>, früntlich grussen, bis uns gott dermaln eins wider zuͦsamen hilft.</s>
11219.xml	p8014	p495	1538	t6	<s n="19">Unsern fruntlichen gruoß, sampt was wir liebs unnd guotz vermögend, zuovor.</s>
11223.xml	p495	p8049	1538	t2,t10	<s n="13">Hiemitt last er üch früntlich gruͤtzen und embüt sich gägen üch aller trüwen diensten und liebe.</s>
11223.xml	p495	p8049	1538	t2,t10	<s n="17">Gruͤtzend mir h(err) <persName ref="p6438" sent="to">Ambrosy Schlumpffen</persName> und üwere predicanten, mine lieben bruͤder.</s>
11231.xml	p1419	p495	1538	t5	<s n="13">Gruͤssend mir <persName ref="p1753" sent="to">Meister Löwenn</persName> und all herren examinatores.</s>
11238.xml	p8129	p495	1538	t10,t11	<s n="23">Der wolle euch sampt euweren mitarbeiteren im wort des herren in siner gnad erhalten, die ir mir hiemit alle grüssen söllen, sampt herr <persName ref="p1888" sent="to">Laventer</persName> und herren burgermeister <persName ref="p2816" sent="to">Röschen</persName>.</s>
11274.xml	p8376	p495	1539	t2	<s n="7">Ich an stadt meyner herrn und freund grüsse euch freundlichen von aller wegen, des gleichen alle obgenantte herrn und euer mithelffer.</s>
11308.xml	p1419	p495	1539	t9,t10	<s n="30">Gruͤssend mir <persName ref="p1753" sent="to">M. Löwen</persName>, her <persName ref="p8412" sent="to">Casparenn</persName>, herren bropst, her doctor <persName ref="p1042" sent="to">Engelhartt</persName> und fogt <persName ref="p1888" sent="to">Lafentern</persName>, auch üwere liebe husfrowenn und kind.</s>
11343.xml	p3866	p495	1539	t6,t9	<s n="13">Meinen unbechanten gruos wellet eur christenlichen <persName ref="p8051" sent="to">frowen</persName> minen gruos im hern vleissig und getreulich sagen und mirß zu guot halte.</s>
11357.xml	p1419	p495	1539	t4,t10	<s n="14">Gruͤssen min herren und schwager, her burgermeister <persName ref="p2816" sent="to">Röistenn</persName>, von minentwägen fast.</s>
11357.xml	p1419	p495	1539	t4,t10	<s n="18">Üwer gruͦß, den ir minem bredicannten gethann, fröwtt in fast wol.</s>
11357.xml	p1419	p495	1539	t4,t10	<s n="19">Ladt üch ouch fast wider gruͤssen und früntlichen dank sagenn.</s>
11357.xml	p1419	p495	1539	t4,t10	<s n="20">Min hußfrow und ich gruͤssend üch und üwer husfolk fast etc.</s>
11357.xml	p1419	p495	1539	t4,t10	<s n="21">Gruͤssend mir <persName ref="p1753" sent="to">M. Löwen</persName>, herren bropst und ander mine herren und fründ.</s>
1139.xml	p8055	p495	1551	t11	<s n="24">Gruͤtzend die ewern all mitt allen lieben herren und bruͤdern.</s>
11390.xml	p8440	p495	1540	t2	<s n="9">Grüß mir dein liebe hausfrow zu taußend maalen ouch in namen der meynen.</s>
11398.xml	p8071	p495	1540	t10	<s n="13">Wellend minem hern <persName ref="p2816" sent="from">Rösten</persName> min gruͦß sampt der zithung von mir ansagen, daby all guͦt hern, hern <persName ref="p459" sent="to">propst</persName>, <persName ref="p1753" sent="to">Leon</persName>, <persName ref="p8412" sent="to">Casparn</persName>, <persName ref="p8171" sent="to">Theoder</persName>, <persName ref="p8437" sent="to">M. Raßmus</persName>, <persName ref="p6793" sent="to">Thumysen</persName>, <persName ref="p17785" sent="to">Andress Gessner</persName>, meister <persName ref="p5935" sent="to">Kaspar</persName>, so vil uch müglich (wann ir uff der gassen spacieren) grüssen, <persName ref="p1888" sent="to">Laffatter</persName> och, vorab vestram <persName ref="p8051" sent="to">uxorem</persName> et pueros.</s>
1145.xml	p8108	p495	1551	t10	<s n="8">Bitt, ir wellind mir meister <persName ref="p1214" sent="to">Hans Friesen</persName>, min lieben bruͦder, gruͤssen, und wünsch üch beiden und üwern hußgesinden ein glückhafftig nüw jare.</s>
11682.xml	p8055	p495	1542	t9,t10	<s n="37">Sagt mir meinem sunder gunstigen, lieben herr burgermaister <persName ref="p2816" sent="to">Rösten</persName>, sinem <persName ref="p6319" sent="to">sun</persName> und <persName ref="p20168" sent="to">sunsfrauwen</persName> vyl dienst, guͦtz und gruͦtz.</s>
11686.xml	p8055	p495	1542	t10,t11	<s n="30">Wellt mir meinem insunder gunstigen, lieben herren und freund burgermaister <persName ref="p2816" sent="to">Rösten</persName> vyl dienst und gruͦtz mitt empietung alles guͦten sagen.</s>
11686.xml	p8055	p495	1542	t10,t11	<s n="34">Die <persName ref="p20065" sent="from">Zwicken</persName> lassen euch fruntlich und brüderlich grüssen.</s>
1169.xml	p495	p499	1551	t9	<s n="5">Es gruͤst dich all min volck.</s>
11708.xml	p2810	p495	1542	t2	<s n="23">Ir mugents wol <persName ref="p8412" sent="to">Casparnn</persName> vertruwen, aber sunst niemant; den grüetzend mir ouch truwlich.</s>
11766.xml	p8440	p495	1543	t10	<s n="29">Gruß mir den frommen, gottliebenden <persName ref="p8127" sent="to">Pellicanum</persName>, herr <persName ref="p8412" sent="to">Casparnn</persName>, <persName ref="p344" sent="to">Binderum</persName> und alle diener des worts.</s>
11766.xml	p8440	p495	1543	t10	<s n="33">Ich dorff nitt wol brieff von dir vorderen, denn ich hab meyn unschick noch nitt widerpracht, welt aber dennocht gern einfart ein fruntlichen gruß von dir haben, mocht es nitt meer gesin.</s>
11780.xml	p2237	p495	1543	t2	<s n="31">Gruͤssend mir uwer lieb <persName ref="p8051" sent="to">huß frowen</persName> und all guͦt herren und bruͤder, in sonders <persName ref="p8171" sent="to">Theodorum</persName>.</s>
11791.xml	p2700	p495	1543	t11	<s n="26">Ich will üch gebetten haben, ir welt mir her <persName ref="p5089" sent="to">Hainrich Gölldlin</persName> gruͤzen und im die nüwe mer zeigen, wie sin heidiner oder hellig vatter, der papst, tuͦt.</s>
11842.xml	p1057	p495	1543	t2	<s n="19">Grussend mir uwere <persName ref="p8051" sent="to">hußfrow</persName>, her <persName ref="p8011" sent="to">Gwaltherum</persName>, meyster <persName ref="p20575" sent="to">Jacob Sprungly</persName>, sin hußfrow und alle andre guͦtte fründt zuͦ tusent molen.</s>
11846.xml	p7879	p495	1543	t2,t5	<s n="3">Mit enbiettung myns früntlichen gruͦs und aller guͦtt myns vermügens zuͦ vor.</s>
11846.xml	p7879	p495	1543	t2,t5	<s n="18">Wellentt mich mynem eerenden herren burgermeister <persName ref="p2816" sent="to">Röisch</persName> samptt der eeren früntschafft befelchen, inen ouch alle guͦttwillickheit und gruͦß sagen.</s>
11847.xml	p1057	p495	1543	t2	<s n="19">Gruͤssen mir all uwer hußgesindt und guͦt frundt und bruͤder.</s>
11853.xml	p1057	p495	1543	t2,t10	<s n="21">Grussend mir alle guͦtte herren und bruͤder, minen herren burgenmeister und alle andre guͦtte fründt.</s>
11853.xml	p1057	p495	1543	t2,t10	<s n="22">Es thuͦtt uch ouch griessen all min hußgesind.</s>
11882.xml	p8055	p495	1544	t10	<s n="44">Dem theuren christlichen herrn <persName ref="p2816" sent="to">Rösten</persName> und seinem <persName ref="p6319" sent="to">sun</persName>, ouch des <persName ref="p20168" sent="to">hausfrauwen</persName>, wellt von mir vyl dienst, guͦtz und gruͦtz sagen mitt wunschung vyl gnadrycher, gloubreycher und dultreycher jar mitt allem guͦtem; ich beger ir aller getruw, glöbig fürpitt.</s>
11884.xml	p8055	p495	1544	t2,t5	<s n="7">Wellt ewer ersamen, christlichen <persName ref="p8051" sent="to">hausfrauwen</persName>, kinden mitt allen liebverwandten vyl dienst, liebs und gruͦtz mitt wünschung alles guͦten sagen; beger hertzlich ewer aller getruw furpitt.</s>
11924.xml	p8055	p495	1544	t10	<s n="7">Sagt mir meinem gunstigen lieben herrn burgermaister <persName ref="p2816" sent="to">Rösten</persName>, <persName ref="p6319" sent="to">seinem sun</persName> und <persName ref="p20168" sent="to">sünin</persName> vyl dienst, guͦtz und gruͦtz, und habt unß gegen gott und zytlich allweg für bevolchen.</s>
11929.xml	p8055	p495	1544	t10	<s n="71">So muͦß ich schier gedencken, ir habind meinen namen dem <persName ref="p1888" sent="to">Lavater</persName> und <persName ref="p1419" sent="to">Haben</persName> angezaigt, diewyl ir mir von iren wegen sonderlich ain gruͦtz zuͦschribend, welchs sy doch yetz nitt ursach gehapt hetten euch ze bevelchen.</s>
11929.xml	p8055	p495	1544	t10	<s n="80">Ich schreib euch kainen gruͦtz von nieman uff diß mal; es hat wichtig ursachen, das ich nieman davon sag.</s>
11930.xml	p1278	p495	1544	t2,t10	<s n="10">Min hußfrow schicket do uwerer und herrn <persName ref="p8171" sent="to">Theodori</persName> hußfrowen jetlicher ein barmesser und bittet sy der by, si wellent ein kleyne meynung, die in allem guͦten beschicht, also uff nemen und nit verachten, und griesset uch und uwere hußfrowen im herren.</s>
11936.xml	p8055	p495	1544	t2,t10	<s n="14">Wellt mir meinem günstigen her <persName ref="p2816" sent="to">Rösten</persName> vyl vyl dienst, guͦts und gruͦtz sagen.</s>
11938.xml	p495	p8055	1544	t10	<s n="4">Min herr last üch gantz früntlich gruͤssen.</s>
11964.xml	p8055	p495	1544	t2,t10	<s n="17">Dem herr <persName ref="p2816" sent="to">Rösten</persName> wellt vyl dienst, guͦtz und gruͦtz von mir sagen.</s>
11994.xml	p2810	p495	1544	t5,t10	<s n="18">Grüetzent mir min lieb herrnn und brüeder all.</s>
12015.xml	p495	p1010	1544	t2,t4	<s n="34">Wil ich verdienen, wo ich kan; ouch umb dem stattschryber, den grüssend mir etc.</s>
12091.xml	p8055	p495	1544	t6,t10	<s n="33">Meinem gunstigen Herrn <persName ref="p2816" sent="to">Rösten</persName> wellt vyl dienst, gruͦtz und guͦtz von mir sagen.</s>
12101.xml	p8055	p495	1544	t10	<s n="59">Gruͤzt alle ewer hausgesind mitt wunschung guͦter jar und aller fridlicher gottgefelliger zeyt.</s>
12104.xml	p8467	p495,p8412	1544	t4,t6	<s n="15">Zum letst wünschend wir üch göttliche hilff und bystand, die warheyt weydelich zeerretten vor dem grußammen frävel, den <persName ref="p1974">Luther</persName> brucht.</s>
12109.xml	p495	p8055	1545	t2,t10	<s n="16">Gruͤssend mir mine geliepte herren <persName ref="p8178" sent="to">Thomam Blaurerum</persName> fratrem und <persName ref="p4082" sent="to">Conraten Zwick</persName>, etc.</s>
12171.xml	p495	p8055	1545	t4	<s n="7">Gruͤssend mir inn früntlich.</s>
12217.xml	p495	p3067	1545	t3,t4	<s n="16">Jetzund hab ich nut wyters, dann gruͤssend mir und miner <persName ref="p8051" sent="from">hußfrowen</persName> üwer liebe eeren <persName ref="p6730" sent="to">hußfrowen</persName>.</s>
12274.xml	p8055	p495	1545	t4,t10	<s n="41">Sagt den ewern allen vyl dienst, guͦtz und gruͦtz von mir, und hapt unß gegen dem herren allzeyt in getruwem fürpitt christelich für bevolchen.</s>
12332.xml	p8354	p495	1545	t10	<s n="48">Gruest mir herr burgermeister <persName ref="p1888" sent="to">Lavatern</persName>, den herrn <persName ref="p8339" sent="to">statschreiber</persName>, dominum <persName ref="p8011" sent="to">Rodolphum Gvalterum</persName>, <persName ref="p1283" sent="to">Geßnerum</persName> et totum domicilium Palladis.</s>
12336.xml	p8354	p495	1545	t10	<s n="34">Gruest mir den herrn burgermaister <persName ref="p1888" sent="to">Lavatern</persName>, herrn <persName ref="p8339" sent="to">statschreiber</persName>, all mein günstig herren literatos.</s>
12340.xml	p3927	p495	1545	t5,t10	<s n="14">Welt myr ewer mytbryeder in evangelio Jesu Crystz frayntlych griessenn, mych zu ewerem besten wysen.</s>
12360.xml	p8354	p495	1545	t5,t10	<s n="60">Gruesst mir mein gunstig gepietend herrn burgermaister mit erpietung meiner willigen diennst.</s>
12360.xml	p8354	p495	1545	t5,t10	<s n="62">Den herrn statschreiber unnd all gunstig herrn begere ich ze grueßen.</s>
12416.xml	p3927	p495	1546	t6,t11	<s n="20">Bayde heren burgermaister wellet myr frayntlych irs grus danken unnd sy wyderum frayntlych von meynet wegenn griessenn; inen antzaygen, wo ich inen oder gemeyner stat gedyenenn kynnt, das ich gantz willyg seyn welt.</s>
12416.xml	p3927	p495	1546	t6,t11	<s n="21">Ich unnd myn <persName ref="p43" sent="from">hausfraw</persName>, auch al die unseren, gryesenn ewch, lyeber her, ewer erbere <persName ref="p8051" sent="to">hausfraw</persName>, al die ewerenn im herenn.</s>
12453.xml	p8018	p495	1546	t10,t11	<s n="41">Mein freündtlichen gruß, etc.</s>
12456.xml	p3927	p495	1546	t6	<s n="23">Ich bedank mych, auch meyn <persName ref="p43" sent="from">hausfrau</persName>, des meynen bayder burgermaisteren frayntlich grusß.</s>
12456.xml	p3927	p495	1546	t6	<s n="26">Wellet myr auch bayde heren burgermaister frayntlych wyderum gryessenn.</s>
12500.xml	p8354	p495	1546	t6,t10	<s n="62">Wollennd mir die herrn Burgermaister, herrn <persName ref="p8339" sent="to">statschriber</persName> unnd alle gelerten, dern ir den allerzirlichsten waldt hapt, zum freundtlichsten gruessen.</s>
12507.xml	p8354	p495	1546	t10,t11	<s n="11">Grüsst mir die herrn burgermaister, statschryber, <persName ref="p8011" sent="to">Gvalterum</persName>, <persName ref="p1283" sent="to">Gessnerum</persName>, etc.</s>
12511.xml	p495	p8354	1546	t10	<s n="35">Gruͤssend mir beide herren Burgermeister <persName ref="p3927" sent="to">W.</persName> und <persName ref="p1410" sent="to">H.b.</persName>, ouch <persName ref="p8018" sent="to">Hallern</persName>, <persName ref="p1860" sent="to">Cellarium</persName>, etc.</s>
12513.xml	p8354	p495	1546	t10,t11	<s n="13">Grusst die herrn burgermaister unnd alle herrn gelerten, etc.</s>
12519.xml	p8354	p495	1546	t10,t11	<s n="17">Grüesst mir alle liebe herrn unnd brüeff mit ermanung, das sie gott bitten wöllend, damit diser schwer handl zu seinen gotlicher eren unnd zu unnserm heil on plutvergiessen ußgefurt werde.</s>
12527.xml	p8055	p495	1546	t10,t11	<s n="46">Bitten fuͤr unß und gruͤsst all guͦt herren und freund.</s>
12530.xml	p495	p8055	1546	t10,t11	<s n="40">Gruͤssend mir guͦt herren und fründ.</s>
12532.xml	p8055	p495	1546	t10,t11	<s n="38">Den bittend für uns und grützt all gut herrn und freund.</s>
12532.xml	p8055	p495	1546	t10,t11	<s n="39">Euch grützend min lieber bruder und vetter <persName ref="p4082" sent="to">C. Zwick</persName> mitt andern.</s>
12533.xml	p8354	p495	1546	t10	<s n="26">Saget mynen gebittenden herrn burgermaistern flissgen dannckh ires truen gruß unnd bittend ime myne dinst allzit willig synn zu.</s>
12533.xml	p8354	p495	1546	t10	<s n="27">Grüsst mir die herrn bruder, gelerten alle unnd ermanent sie, unnsern gott fur uns ze bitten.</s>
12536.xml	p8055	p495	1546	t10,t11	<s n="33">Es gruͤtzend uch die unseren, insonder min lieber Bruder und vetter <persName ref="p4082" sent="to">Conrad Zwick</persName>.</s>
12537.xml	p1419	p495	1546	t10	<s n="9">M. <persName ref="p6793" sent="from">Thumisen</persName> tut uch fast gruͤssen.</s>
12541.xml	p495	p8018	1546	t5,t10	<s n="51">Sollend ihr anzeigen meinen herren <persName ref="p3927" sent="to">Welsern</persName>, <persName ref="p1410" sent="to">Herbroten</persName> und <persName ref="p8354" sent="to">stattschreibern</persName>, denen mein willig dienst und gruß ansagen.</s>
12542.xml	p8354	p495	1546	t10	<s n="18">Gruesst mir die herrn burgermaister, statschryber unnd die herrn gelerten vlyssig.</s>
12543.xml	p495	p8055	1546	t2,t10	<s n="55">Und gruͤssend inn und uwern bruͦder seer früntlich.</s>
12544.xml	p1419	p495	1546	t10	<s n="3">Unnd wiewol ich üch fil ze schriben hety, mag ich doch so fil wil nütt habenn, dan daß ir by minem lieben herrenn unnd fründ, her <persName ref="p1888" sent="to">Hanß Ruͦdolff Lafater</persName>, alle ding, die wir unserenn herren zuschribend, vernemen werdend; den ir mir auch fast früntlich gruͤssen söllend, ime sagen, daß er nütt zürnen welle, daß ich im nüdt besunder schrib, dan ich warlich nüdt wil hab.</s>
12546.xml	p8071	p495	1546	t10	<s n="13"><persName ref="p6355" sent="from">Jheronimus Sayler</persName> last uch grussen, deß buchs fruntlich dancken.</s>
12550.xml	p8055	p495	1546	t2,t10	<s n="24">Mein lieber <persName ref="p4082" sent="from">vetter</persName> empiet euch vyl guͦtz und gruͦtz.</s>
12550.xml	p8055	p495	1546	t2,t10	<s n="57">Gruͤtzt ewer haußgesind sampt allen guͦten herren und freunden.</s>
12557.xml	p8354	p495	1546	t10	<s n="19">Gruesst mir die herrn burgermaister, statschryber, <persName ref="p8011" sent="to">Gvaltherum</persName>, <persName ref="p1283" sent="to">Geßnerum</persName>, <persName ref="p8171" sent="to">Bibliander</persName>, etc.</s>
12558.xml	p8018	p495	1546	t10	<s n="87">Daruff sich die unseren auch grüst.</s>
12572.xml	p8071	p495	1546	t2,t10	<s n="11">Item der her burgermaister <persName ref="p3927" sent="from">Walser</persName> sagt uch fruntlichen grus.</s>
12585.xml	p8369	p495	1546	t10	<s n="3">Alls er aber dem <persName ref="p3590" sent="to">landgrafen von Hessen</persName> zuͦgesagt, ime an üch syn hochen früntlichen gruͦß mit ettwas bevelch uffs beldest ze thuͦn, da er doch heylig und muͤd, die nachtt vorhanden und die zyt zuͦ kurtz, das ich kheins schrybens hette moͤgen erwarten, und er hütt widerum gan Bernn veryten muͤsen, hatt er mich gebetten, ime die sachen mit schryben gegen üch ußzerichten; weliches ich ouch arbeyt halb, wan mirs die gedachtnus wie der will gaͤbe, mit fröuden ze thuͦn, wol geneygtt.</s>
12585.xml	p8369	p495	1546	t10	<s n="45">Grüssend mir üwer hußgsind, all guͦt herren und bruͤder, sonders herren R.</s>
12586.xml	p495	p8049	1546	t5,t10	<s n="5">Der hatt vil von <persName ref="p4091">Zwynglin</persName> mitt <persName ref="p3559">Hallwyl</persName> geredt, vil gevragt und <persName ref="p4091">Zwinglium</persName> geruͤmpt, mich heyssen gruͤssen und das ich wölle vermanen die kylch, gott anzeruͤffen umb gnad, und min herren ze berichten, das es dem keysser umb die religion und monarchy ze thuͦn sye, nitt umb den unghorsam etc.</s>
12608.xml	p8354	p495	1546	t10	<s n="31">Grüesst mir all liebe herrn unnd bruder.</s>
12608.xml	p8354	p495	1546	t10	<s n="69">Gruesst mir wyb unnd kynnd, die herren burgermaister, stattschriber unnd minen <persName ref="p8011" sent="to">Gvaltherum</persName>.</s>
12616.xml	p495	p3590	1546	t10,t11	<s n="14">U. f. g. embüt sinen gruͦß min gunstiger herr <persName ref="p1888" sent="to">Johanns Rodolff Lavater</persName>, Burgermeister, sampt sinen willigen diensten.</s>
12620.xml	p495	p8418	1546	t10	<s n="19">Gruͤssend mir <persName ref="p1278" sent="to">Gastium</persName>, mitteylend imm diß nuwe zytung und gaͤbend imm diß sin register.</s>
12634.xml	p8467	p495	1546	t2,t5	<s n="16">Sind gott empfolhen und gruͤßend mir von hertzen üwre mittarbeyter, prediger und leßmeyster alle.</s>
12635.xml	p3927	p495	1546	t11	<s n="27">Allen 4 heren bedank ich mych irer grieß frayntlych, myt byt, ir wellet myr die heren wyderum griesen unnd mein willyg dyenst antzaygenn.</s>
12643.xml	p8018	p495	1546	t10,t11	<s n="96">Laßt üch alle vast gruͤßen.</s>
12644.xml	p495	p3590	1546	t2,t10	<s n="15">Es last u. f. g. gar früntlichen gruͤssen herr <persName ref="p1888" sent="from">Johan Rodolff Lavatar</persName>, Burgermeister, welcher u. f. g. wolfart, heyl und syg zum hoͤchsten begaͤrt, und die zuͦ fürdern mitt allem sinem vermugen gantz willig ist.</s>
12651.xml	p495	p8443	1546	t2,t3	<s n="14">Es gruͤst üch und die gefatter min liebe hußfrow.</s>
12654.xml	p495	p8418	1546	t10,t11	<s n="25">Den gruͤssend mir trüwlich.</s>
12662.xml	p8354	p495	1546	t3,t10	<s n="25">Gruesst mir die herrn burgermaister, <persName ref="p8339" sent="to">statschriber</persName>, d. <persName ref="p8011" sent="to">Rodolphum</persName>, <persName ref="p1283" sent="to">Gessnerum</persName>, <persName ref="p8171" sent="to">Bibliandrum</persName>, <persName ref="p1214" sent="to">Frisium</persName>, <persName ref="p8127" sent="to">Pellicanum</persName>, <persName ref="p3988" sent="to">Gvolfium</persName> atque totum musarum cęlum.</s>
12665.xml	p8055	p495	1546	t10	<s n="18">Er klagt sichs gantz hoch und empeut euch vyl vyl dienst und gruͦtz.</s>
12673.xml	p8055	p495	1546	t10	<s n="56">Sagt allen guͦten herren und freunden vyl, vyl liebs, dienst,  guͦts und gruͦtz.</s>
12699.xml	p495	p8055	1546	t2,t10	<s n="32">Gruͤssend mir minen herren <persName ref="p7495" sent="to">burgermeister</persName>, üwern <persName ref="p8178" sent="to">bruͦder</persName> und vettern Juncker <persName ref="p4082" sent="to">Conradt Zwicken</persName>.</s>
12709.xml	p8354	p495	1546	t10,t11	<s n="23">Grüesst mir yederman unnd sagt mynem furgeliebten herrn unnd bruder <persName ref="p8011" sent="to">Rodolpho Gvalthero</persName> mein gruzs und dienst.</s>
12714.xml	p8440	p495	1546	t10	<s n="25">Grüßen mir zu taußend malen uwer lieb hausfrow und kinder, herren <persName ref="p8127" sent="to">Pellicanum</persName>, dominum <persName ref="p8171" sent="to">Theodorum</persName> und alle lieben pruder.</s>
12714.xml	p8440	p495	1546	t10	<s n="26">Eß grüßt uch consul <persName ref="p1257" sent="from">Funckius</persName>, d. d. <persName ref="p3994" sent="from">Huldrichus</persName> medicus und alle lieben pruder, <persName ref="p8009" sent="to">Joannes Schmyd</persName> sonderlich.</s>
12731.xml	p8354	p495	1546	t2,t10	<s n="50">Gruessennd von meinen wegen die herrn burgermaister, <persName ref="p8339" sent="to">statschriber</persName>, <persName ref="p8011" sent="to">Gvaltherum</persName> atque alios id genus, quibus nihil mihi est suavius.</s>
12734.xml	p495	p1704	1546	t4,t6	<s n="21">Min liebe hußfrow last üch vast früntlich gruͤssen.</s>
12740.xml	p495	p350	1546	t2,t10	<s n="15">Dem wytberuͤmpten und getruwen herren <persName ref="p5800" sent="to">doctorn Meggenbach</persName> woͤllend widerumb in minem und mines lieben sons <persName ref="p8011" sent="from">Gwaltheri</persName> namen früntlich gruͤssen und imm von uns alle lieb und dienst anzeigen.</s>
12740.xml	p495	p350	1546	t2,t10	<s n="25">Gruͤssend mir h. <persName ref="p3138" sent="to">Theobaldum Tamerum</persName>, minen lieben bruͦder  imm herren, und andere, die liebe zuͦ mir habend.</s>
12747.xml	p8354	p495	1546	t10	<s n="20">Grüesst mir all lieb herren unnd freunnd.</s>
12756.xml	p8055	p495	1546	t5,t10	<s n="28">Es gruͤtzt euch sehr fruntlich min lieber bruͦder, ouch vetter <persName ref="p4082" sent="from">Conrad Zwick</persName>.</s>
12756.xml	p8055	p495	1546	t5,t10	<s n="30">Gruͤtzt all guͦt herrn und frund.</s>
12766.xml	p495	p8055	1546	t2,t10	<s n="32">Gruͤssend mir üwern lieben <persName ref="p8178" sent="to">bruͦder</persName> und <persName ref="p4082" sent="to">vettern</persName>, mine günstige herren, und versaͤhend üch zuͦ uns alle zyt aller trüw und rechter liebe.</s>
12768.xml	p495	p8418	1546	t10	<s n="14"><persName ref="p1278" sent="from">Gastium</persName> gruͤssend mir und sagend imm, woͤlle er die wollen oder bescheid von der wollen zuͦ würcken schicken, soͤlle oder moͤge ers by disem botten thuͦn.</s>
12771.xml	p495	p8418	1546	t10	<s n="26">D. <persName ref="p8032" sent="from">Dryandrum</persName>, deß ich gester gewartet (aber gedencken mag, imm sye ze schaffen worden), gruͤssend mir.</s>
12776.xml	p1278	p495	1546	t1,t10	<s n="19">Gruesset mir ewer <persName ref="p8051" sent="to">hußfrowen</persName> und kinder alle, etc.</s>
12787.xml	p495	p8418	1547	t10	<s n="27">Gruͤssend mir inn und d. <persName ref="p8032" sent="to">Dryandrum</persName>, desse brieff mir worden.</s>
12788.xml	p8055	p495	1547	t10,t11	<s n="45">Gruͤzt all guͦt herren und freund.</s>
12788.xml	p8055	p495	1547	t10,t11	<s n="46">Euch gruͤzt yederman.</s>
12795.xml	p8055	p495	1547	t10,t11	<s n="72">Sagt allen guͦten herren und freunden vyl, vyl dienst, guͦts und gruͦtz, und vermanend yederman, gott fuͤr uns ze bitten.</s>
12803.xml	p8055	p495	1547	t10,t11	<s n="44">Danckt und gruͤtzt euch fruntlich.</s>
12803.xml	p8055	p495	1547	t10,t11	<s n="49">Gruͤtzt all guͦt herren und freund.</s>
12806.xml	p495	p8418,p1278	1547	t10	<s n="12"><persName ref="p8032" sent="to">Dryandrum</persName> gruͤssend mir.</s>
12806.xml	p495	p8418,p1278	1547	t10	<s n="15">Gruͤssend mir <persName ref="p4715" sent="to">Episcopium</persName>, <persName ref="p5213" sent="to">Hervagium</persName>, etc.</s>
12812.xml	p8055	p495	1547	t10	<s n="58">Gruͤzt alle menschen.</s>
12816.xml	p495	p8055	1547	t10	<s n="69">Die gruͤssend mir.</s>
12820.xml	p8055	p495	1547	t10,t11	<s n="55">Gruͤtzt all guͦt herren und frund.</s>
12823.xml	p495	p8055	1547	t2,t10	<s n="41">Grust mir unsere lieben vertruwten.</s>
12824.xml	p8055	p495	1547	t5,t10,t11	<s n="52">Sagt allen guͦten herren und freunden alles guͦtz und vyl gruͦtz, sonderlich ewerm gantzen hausgesind.</s>
12827.xml	p8055	p495	1547	t10,t11	<s n="22">Grutzt all guͦt herren und freund, sonderlich administros tuos in domino.</s>
12839.xml	p8055	p495	1547	t10,t11	<s n="38">Sagt allen guͦten herren, freunden und bruͤdern alles lieb, guͦtz und gruͦtz sampt empietung miner guͦtwilligen diensten, zuͦvoran ewerm l. husgesynd, und vergesst unser nitt!</s>
12866.xml	p495	p8049	1547	t10	<s n="13">Gruͤssend mir früntlich <persName ref="p3878" sent="to">Widenhuͦbern</persName> und <persName ref="p6355" sent="to">Saylern</persName> sampt anderen guͦten herren und fründen.</s>
12890.xml	p8055	p495	1547	t5,t10	<s n="25">Das wellt dem guͦten <persName ref="p1419" sent="to">Hans Schoͤner</persName> anzoͤgen und inn von minen wegen freuntlich und bruͤderlich gruͤtzen mitt entschuldigung meines nitt schreibens, dann ich warlich weder zeyt noch muͦsß hab.</s>
12890.xml	p8055	p495	1547	t5,t10	<s n="27">Sagt den ewern allen mitt wunschung gottes gnad vyl gruͦtz und guͦts von mir, und bittend mitt allen trüwen für unß und unser kirchen, das wir in seinen gnaden durch all diß schwaͤr anfechtungen kommen moͤgind und der herr Christus sein reych allenthalb erweytere und bestaͤtige.</s>
12891.xml	p495	p8055	1547	t10,t11	<s n="8">Gruͤssend mir j. <persName ref="p4082" sent="to">Conradten</persName>.</s>
12896.xml	p8055	p495	1547	t10	<s n="26">Gruͤst all guͦt herren und fründ.</s>
12899.xml	p495	p1278	1547	t10	<s n="13">Die gruͤssend mir, etc.</s>
12902.xml	p8055	p495	1547	t10	<s n="38">Gruͤtzt alle menschen, ewer hauß zuͦvorderst.</s>
